Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,2/1/2025,people,"146,328"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,2/1/2025,people,"6,851"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),2/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),2/1/2025,Units,"1,336,911"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),2/1/2025,Units,"1,286,160"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),2/1/2025,Units,"947,189"
road,within Bangkok,Public,ขบ.,Category 4,2/1/2025,people,421
road,within Bangkok,Public,ขสมก.,BMTA buses,2/1/2025,people,"480,181"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),2/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),2/1/2025,people,"292,998"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,2/1/2025,people,"11,258"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,2/1/2025,people,"19,387"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,2/1/2025,people,"24,078"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,2/1/2025,people,"3,614"
River,within Bangkok,Public,จท.,Regional boats,2/1/2025,people,"248,153"
Railway,Inter-provincial travel,Public,รฟท.,Trains,2/1/2025,people,"94,978"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,2/1/2025,people,"383,349"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,2/1/2025,people,"57,256"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,2/1/2025,people,"35,138"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,2/1/2025,people,"47,248"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,2/1/2025,people,"61,353"
Railway,within Bangkok,Public,กทม.,BTS electric trains,2/1/2025,people,"651,144"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,2/1/2025,people,"30,897"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,2/1/2025,people,"19,930"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,2/1/2025,people,"32,333"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,2/1/2025,people,"29,875"
Air,Inter-provincial travel,Public,ทย.,Regional airports,2/1/2025,people,"19,979"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,2/1/2025,people,320
Air,Inter-provincial travel,Public,กพท.,Samui Airport,2/1/2025,people,"5,044"
road,International traveling,Public,บขส.,Bus Inbound,2/1/2025,people,"1,008"
road,International traveling,Public,บขส.,Bus Outbound,2/1/2025,people,"1,806"
Railway,International traveling,Public,รฟท.,Train Inbound,2/1/2025,people,422
Railway,International traveling,Public,รฟท.,Train Outbound,2/1/2025,people,433
River,International traveling,Public,จท.,Border Port Inbound,2/1/2025,people,"2,773"
River,International traveling,Public,จท.,Border Port Outbound,2/1/2025,people,"3,004"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,2/1/2025,people,"83,389"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,2/1/2025,people,"75,051"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,2/1/2025,people,"21,388"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,2/1/2025,people,"21,890"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,2/1/2025,people,"26,859"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,2/1/2025,people,"26,664"
Air,International traveling,Public,ทย.,Regional Airports Inbound,2/1/2025,people,"1,642"
Air,International traveling,Public,ทย.,Regional Airports Outbound,2/1/2025,people,"1,592"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,3/1/2025,people,"142,366"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,3/1/2025,people,"7,106"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),3/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),3/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),3/1/2025,Units,"1,397,188"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),3/1/2025,Units,"1,448,220"
road,within Bangkok,Public,ขบ.,Category 4,3/1/2025,people,558
road,within Bangkok,Public,ขสมก.,BMTA buses,3/1/2025,people,"498,654"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),3/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),3/1/2025,people,"318,787"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,3/1/2025,people,"12,116"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,3/1/2025,people,"19,615"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,3/1/2025,people,"24,401"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,3/1/2025,people,"3,786"
River,within Bangkok,Public,จท.,Regional boats,3/1/2025,people,"221,699"
Railway,Inter-provincial travel,Public,รฟท.,Trains,3/1/2025,people,"88,773"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,3/1/2025,people,"397,302"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,3/1/2025,people,"62,766"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,3/1/2025,people,"36,856"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,3/1/2025,people,"51,312"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,3/1/2025,people,"63,393"
Railway,within Bangkok,Public,กทม.,BTS electric trains,3/1/2025,people,"683,558"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,3/1/2025,people,"32,470"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,3/1/2025,people,"20,408"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,3/1/2025,people,"34,067"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,3/1/2025,people,"29,001"
Air,Inter-provincial travel,Public,ทย.,Regional airports,3/1/2025,people,"18,706"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,3/1/2025,people,133
Air,Inter-provincial travel,Public,กพท.,Samui Airport,3/1/2025,people,"4,441"
road,International traveling,Public,บขส.,Bus Inbound,3/1/2025,people,"1,249"
road,International traveling,Public,บขส.,Bus Outbound,3/1/2025,people,"1,599"
Railway,International traveling,Public,รฟท.,Train Inbound,3/1/2025,people,364
Railway,International traveling,Public,รฟท.,Train Outbound,3/1/2025,people,376
River,International traveling,Public,จท.,Border Port Inbound,3/1/2025,people,"2,834"
River,International traveling,Public,จท.,Border Port Outbound,3/1/2025,people,"2,859"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,3/1/2025,people,"82,013"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,3/1/2025,people,"70,927"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,3/1/2025,people,"23,250"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,3/1/2025,people,"21,507"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,3/1/2025,people,"25,041"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,3/1/2025,people,"26,713"
Air,International traveling,Public,ทย.,Regional Airports Inbound,3/1/2025,people,970
Air,International traveling,Public,ทย.,Regional Airports Outbound,3/1/2025,people,"1,164"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,4/1/2025,people,"129,373"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,4/1/2025,people,"5,076"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),4/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),4/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),4/1/2025,Units,"1,331,364"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),4/1/2025,Units,"1,377,616"
road,within Bangkok,Public,ขบ.,Category 4,4/1/2025,people,"1,050"
road,within Bangkok,Public,ขสมก.,BMTA buses,4/1/2025,people,"408,348"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),4/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),4/1/2025,people,"277,262"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,4/1/2025,people,"7,724"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,4/1/2025,people,"7,218"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,4/1/2025,people,"24,236"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,4/1/2025,people,"3,842"
River,within Bangkok,Public,จท.,Regional boats,4/1/2025,people,"219,204"
Railway,Inter-provincial travel,Public,รฟท.,Trains,4/1/2025,people,"85,632"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,4/1/2025,people,"294,756"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,4/1/2025,people,"40,502"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,4/1/2025,people,"29,004"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,4/1/2025,people,"35,089"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,4/1/2025,people,"50,603"
Railway,within Bangkok,Public,กทม.,BTS electric trains,4/1/2025,people,"520,834"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,4/1/2025,people,"24,411"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,4/1/2025,people,"19,526"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,4/1/2025,people,"34,798"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,4/1/2025,people,"27,509"
Air,Inter-provincial travel,Public,ทย.,Regional airports,4/1/2025,people,"17,057"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,4/1/2025,people,138
Air,Inter-provincial travel,Public,กพท.,Samui Airport,4/1/2025,people,"4,369"
road,International traveling,Public,บขส.,Bus Inbound,4/1/2025,people,978
road,International traveling,Public,บขส.,Bus Outbound,4/1/2025,people,"1,603"
Railway,International traveling,Public,รฟท.,Train Inbound,4/1/2025,people,353
Railway,International traveling,Public,รฟท.,Train Outbound,4/1/2025,people,381
River,International traveling,Public,จท.,Border Port Inbound,4/1/2025,people,"2,538"
River,International traveling,Public,จท.,Border Port Outbound,4/1/2025,people,"2,986"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,4/1/2025,people,"81,954"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,4/1/2025,people,"70,901"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,4/1/2025,people,"22,068"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,4/1/2025,people,"20,888"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,4/1/2025,people,"26,942"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,4/1/2025,people,"28,784"
Air,International traveling,Public,ทย.,Regional Airports Inbound,4/1/2025,people,893
Air,International traveling,Public,ทย.,Regional Airports Outbound,4/1/2025,people,"1,568"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,5/1/2025,people,"132,895"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,5/1/2025,people,"7,058"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),5/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),5/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),5/1/2025,Units,"1,308,746"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),5/1/2025,Units,"1,340,590"
road,within Bangkok,Public,ขบ.,Category 4,5/1/2025,people,450
road,within Bangkok,Public,ขสมก.,BMTA buses,5/1/2025,people,"406,508"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),5/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),5/1/2025,people,"265,938"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,5/1/2025,people,"7,528"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,5/1/2025,people,"7,129"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,5/1/2025,people,"24,171"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,5/1/2025,people,"3,958"
River,within Bangkok,Public,จท.,Regional boats,5/1/2025,people,"205,306"
Railway,Inter-provincial travel,Public,รฟท.,Trains,5/1/2025,people,"91,823"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,5/1/2025,people,"259,900"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,5/1/2025,people,"35,829"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,5/1/2025,people,"31,899"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,5/1/2025,people,"31,910"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,5/1/2025,people,"51,859"
Railway,within Bangkok,Public,กทม.,BTS electric trains,5/1/2025,people,"468,745"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,5/1/2025,people,"25,304"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,5/1/2025,people,"21,917"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,5/1/2025,people,"33,342"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,5/1/2025,people,"27,687"
Air,Inter-provincial travel,Public,ทย.,Regional airports,5/1/2025,people,"17,932"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,5/1/2025,people,304
Air,Inter-provincial travel,Public,กพท.,Samui Airport,5/1/2025,people,"4,122"
road,International traveling,Public,บขส.,Bus Inbound,5/1/2025,people,997
road,International traveling,Public,บขส.,Bus Outbound,5/1/2025,people,"1,660"
Railway,International traveling,Public,รฟท.,Train Inbound,5/1/2025,people,321
Railway,International traveling,Public,รฟท.,Train Outbound,5/1/2025,people,488
River,International traveling,Public,จท.,Border Port Inbound,5/1/2025,people,"2,502"
River,International traveling,Public,จท.,Border Port Outbound,5/1/2025,people,"2,417"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,5/1/2025,people,"87,665"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,5/1/2025,people,"72,718"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,5/1/2025,people,"23,144"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,5/1/2025,people,"22,136"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,5/1/2025,people,"25,534"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,5/1/2025,people,"27,952"
Air,International traveling,Public,ทย.,Regional Airports Inbound,5/1/2025,people,694
Air,International traveling,Public,ทย.,Regional Airports Outbound,5/1/2025,people,"1,181"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,6/1/2025,people,"114,396"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,6/1/2025,people,"6,640"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),6/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),6/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),6/1/2025,Units,"1,511,009"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),6/1/2025,Units,"1,566,996"
road,within Bangkok,Public,ขบ.,Category 4,6/1/2025,people,"1,151"
road,within Bangkok,Public,ขสมก.,BMTA buses,6/1/2025,people,"575,867"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),6/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),6/1/2025,people,"384,215"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,6/1/2025,people,"13,435"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,6/1/2025,people,"22,564"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,6/1/2025,people,"24,037"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,6/1/2025,people,"3,806"
River,within Bangkok,Public,จท.,Regional boats,6/1/2025,people,"198,198"
Railway,Inter-provincial travel,Public,รฟท.,Trains,6/1/2025,people,"83,323"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,6/1/2025,people,"484,991"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,6/1/2025,people,"81,396"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,6/1/2025,people,"47,195"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,6/1/2025,people,"65,342"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,6/1/2025,people,"73,959"
Railway,within Bangkok,Public,กทม.,BTS electric trains,6/1/2025,people,"800,753"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,6/1/2025,people,"40,742"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,6/1/2025,people,"20,049"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,6/1/2025,people,"32,288"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,6/1/2025,people,"27,490"
Air,Inter-provincial travel,Public,ทย.,Regional airports,6/1/2025,people,"17,467"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,6/1/2025,people,130
Air,Inter-provincial travel,Public,กพท.,Samui Airport,6/1/2025,people,"4,651"
road,International traveling,Public,บขส.,Bus Inbound,6/1/2025,people,819
road,International traveling,Public,บขส.,Bus Outbound,6/1/2025,people,"1,680"
Railway,International traveling,Public,รฟท.,Train Inbound,6/1/2025,people,280
Railway,International traveling,Public,รฟท.,Train Outbound,6/1/2025,people,288
River,International traveling,Public,จท.,Border Port Inbound,6/1/2025,people,"2,298"
River,International traveling,Public,จท.,Border Port Outbound,6/1/2025,people,"2,336"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,6/1/2025,people,"81,425"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,6/1/2025,people,"71,372"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,6/1/2025,people,"22,401"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,6/1/2025,people,"19,703"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,6/1/2025,people,"25,428"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,6/1/2025,people,"26,993"
Air,International traveling,Public,ทย.,Regional Airports Inbound,6/1/2025,people,"1,033"
Air,International traveling,Public,ทย.,Regional Airports Outbound,6/1/2025,people,"1,274"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,7/1/2025,people,"101,848"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,7/1/2025,people,"5,843"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),7/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),7/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),7/1/2025,Units,"1,498,592"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),7/1/2025,Units,"1,560,117"
road,within Bangkok,Public,ขบ.,Category 4,7/1/2025,people,981
road,within Bangkok,Public,ขสมก.,BMTA buses,7/1/2025,people,"582,811"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),7/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),7/1/2025,people,"382,938"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,7/1/2025,people,"13,363"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,7/1/2025,people,"23,481"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,7/1/2025,people,"24,403"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,7/1/2025,people,"3,712"
River,within Bangkok,Public,จท.,Regional boats,7/1/2025,people,"190,242"
Railway,Inter-provincial travel,Public,รฟท.,Trains,7/1/2025,people,"74,098"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,7/1/2025,people,"504,154"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,7/1/2025,people,"83,189"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,7/1/2025,people,"47,030"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,7/1/2025,people,"65,773"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,7/1/2025,people,"75,440"
Railway,within Bangkok,Public,กทม.,BTS electric trains,7/1/2025,people,"822,259"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,7/1/2025,people,"39,473"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,7/1/2025,people,"20,103"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,7/1/2025,people,"30,478"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,7/1/2025,people,"27,112"
Air,Inter-provincial travel,Public,ทย.,Regional airports,7/1/2025,people,"16,324"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,7/1/2025,people,268
Air,Inter-provincial travel,Public,กพท.,Samui Airport,7/1/2025,people,"4,594"
road,International traveling,Public,บขส.,Bus Inbound,7/1/2025,people,891
road,International traveling,Public,บขส.,Bus Outbound,7/1/2025,people,"1,308"
Railway,International traveling,Public,รฟท.,Train Inbound,7/1/2025,people,279
Railway,International traveling,Public,รฟท.,Train Outbound,7/1/2025,people,365
River,International traveling,Public,จท.,Border Port Inbound,7/1/2025,people,"2,787"
River,International traveling,Public,จท.,Border Port Outbound,7/1/2025,people,"2,528"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,7/1/2025,people,"77,738"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,7/1/2025,people,"63,831"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,7/1/2025,people,"18,981"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,7/1/2025,people,"18,896"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,7/1/2025,people,"24,475"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,7/1/2025,people,"25,839"
Air,International traveling,Public,ทย.,Regional Airports Inbound,7/1/2025,people,981
Air,International traveling,Public,ทย.,Regional Airports Outbound,7/1/2025,people,"1,288"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,8/1/2025,people,"92,697"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,8/1/2025,people,"1,508"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),8/1/2025,Units,
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),8/1/2025,Units,
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),8/1/2025,Units,"1,505,329"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),8/1/2025,Units,"1,571,420"
road,within Bangkok,Public,ขบ.,Category 4,8/1/2025,people,945
road,within Bangkok,Public,ขสมก.,BMTA buses,8/1/2025,people,"574,133"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),8/1/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),8/1/2025,people,"379,851"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,8/1/2025,people,"13,235"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,8/1/2025,people,"23,267"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,8/1/2025,people,"24,578"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,8/1/2025,people,"3,895"
River,within Bangkok,Public,จท.,Regional boats,8/1/2025,people,"184,794"
Railway,Inter-provincial travel,Public,รฟท.,Trains,8/1/2025,people,"72,042"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,8/1/2025,people,"513,008"
